user_id,email_subject,sender_email_domain,Department,hover_time_ms,clicked_link,reported_email,device_type,browser_used,email_received_time,session_duration_sec,geo_location,email_language
5855edec-216a-4fdd-9f3b-14d83fef657e,Hospital cause simply.,leonard.com,Finance,3139,no,no,mobile,Edge,2025-02-19T19:48:02,264,"48.9992835,12.888175",French
494e756a-9b8e-4da1-bd16-5906fa846395,Play identify Democrat director.,bridges-smith.org,Operations,934,yes,yes,desktop,Edge,2025-01-28T14:30:40,263,"59.0786685,-93.727570",English
72d18c59-da69-4995-b03b-7d43bb094443,Compare population happen tree our.,morris-hanson.com,Sales,2367,yes,no,desktop,Safari,2025-01-05T19:35:17,227,"-41.6574815,-17.439238",Japanese
bd92dd2f-cbd9-4481-9276-e7108c0bafdb,Continue smile back successful.,rowe-ibarra.com,Marketing,6876,yes,yes,desktop,Firefox,2025-03-23T02:45:45,214,"-86.8348325,-139.476991",German
146ce2ee-2e6e-4963-9b37-4ae09aa2dc2a,Collection individual entire official bar work best.,hampton.biz,Sales,2868,yes,no,desktop,Chrome,2025-02-05T23:31:42,570,"52.047245,83.387666",Spanish
047d7b29-2aa7-4319-a278-5aaf34ba2efa,Small market majority agree more whom attack.,anderson.com,Marketing,2719,yes,no,mobile,Chrome,2025-02-10T17:12:29,409,"28.165231,-59.510344",English
42f39707-1682-4d35-a481-cf8d79e50b6d,Recently mind pattern to land national.,patel.com,Sales,2062,yes,no,mobile,Safari,2025-02-04T08:45:13,29,"18.9581145,-85.742699",Japanese
b2d1c1ad-fa2b-4fd5-8611-2f673db88ed5,Pretty instead growth field rule cup student.,farmer-graham.com,Operations,9722,yes,no,mobile,Opera,2025-02-11T02:52:50,49,"-34.3698705,109.344671",German
034f810a-d5c2-4710-aaf0-1cdb00834982,Certain specific support trade determine likely.,pratt.com,Operations,2535,no,yes,desktop,Firefox,2025-01-04T14:15:11,323,"-52.037061,-61.751515",French
f9422237-ec9b-43d6-b442-e45a2af26be5,Base often all election forget.,mcdaniel.com,IT,3827,no,no,mobile,Safari,2025-03-17T06:20:57,552,"20.102364,45.721218",French
f40c5513-f978-4109-8d4a-0d1a3255e487,Give interview indeed book green hear water.,gregory.net,Operations,7385,no,yes,desktop,Chrome,2025-01-19T12:50:00,38,"62.972370,-50.992594",English
36387eb3-af95-425f-90be-945d5ab49a78,Politics according too.,henry-hammond.com,HR,7334,yes,yes,desktop,Opera,2025-01-27T21:28:00,413,"-61.394219,77.003410",French
323d6f02-7004-42cc-b5de-62ad0a708c25,Experience speech pretty investment.,harris.com,Finance,6938,no,yes,mobile,Safari,2025-01-28T23:26:11,13,"31.144214,-172.064787",English
eb06163e-9b6b-4d89-85d9-5829dd1de5f9,Authority particularly and success money.,henry.net,Sales,7935,yes,yes,desktop,Firefox,2025-01-06T22:03:24,573,"-42.713346,65.695921",Chinese
